Series Name,Series Code,2012 [YR2012] - Australia [AUS],2012 [YR2012] - Argentina [ARG],2012 [YR2012] - China [CHN],2012 [YR2012] - France [FRA],2012 [YR2012] - Germany [DEU],2012 [YR2012] - Indonesia [IDN],2012 [YR2012] - Italy [ITA],2012 [YR2012] - Japan [JPN],2012 [YR2012] - Mexico [MEX],2012 [YR2012] - Spain [ESP],2012 [YR2012] - South Africa [ZAF],2012 [YR2012] - United Kingdom [GBR],2012 [YR2012] - United States [USA],2012 [YR2012] - Canada [CAN],2012 [YR2012] - India [IND],2012 [YR2012] - Saudi Arabia [SAU],2012 [YR2012] - Russian Federation [RUS],"2012 [YR2012] - Korea, Rep. [KOR]",2012 [YR2012] - Brazil [BRA],2012 [YR2012] - Turkey [TUR],2012 [YR2012] - Switzerland [CHE]
CO2 emissions (kt),EN.ATM.CO2E.KT,388126.281,192356.152,10028573.939,333227.624,739861.254,637078.911,369468.585,1230168.49,496324.783,264779.402,468770.945,468572.927,5119436.361,517457.704,2018503.817,564842.678,1830830.424,583966.083,470028.726,329560.624,37773.767
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.6,7.603,7.15,8.7,10.8,7.079,10.3,10,4.736,8.6,11.684,8.9,8.1,7.1,7.385,3.543,13.3,5.3,5.927,5.824,8
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,42561.1206714813,19224.8743997107,11145.752346104,37344.5371009423,42822.0994035797,9251.17553694602,35227.6237320624,36367.5751824031,16324.4293747474,31107.4807887451,12329.630326997,36678.7543552468,50519.5266059597,41794.5389176845,4827.5596557662,49658.6526995727,24879.3790845948,31776.8970259682,15118.138451117,20282.0283759489,55908.0135647588
New businesses registered (number),IC.BUS.NREG,185009,12385,..,121538,69332,47549,75645,91751,68666,84399,217624,537658,..,25723,99587,..,442165,73972,53876,38823,13730
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,..,1199.40405,1035.87909,4073.40585,4379.07515,..,1853.01357,5083.74949,238.33682,2718.38425,404.6859,4029.27837,4015.88708,4634.31514,..,..,3093.56286,6361.60143,..,1097.17206,4481.07378
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.21999979019165,7.34000015258789,4.09999990463257,9.39999961853027,5.38000011444092,6.1399998664856,10.6499996185303,4.34999990463257,4.80999994277954,24.7900009155273,25.1399993896484,7.8899998664856,8.06999969482422,7.28999996185303,2.52999997138977,5.51999998092651,5.46000003814697,3.22000002861023,5.51000022888184,8.14999961853027,4.19000005722046
Refugee population by country or territory of asylum,SM.POP.REFG,30083,3488,301037,217865,589737,1819,64779,2581,1520,4510,65233,149799,262023,163756,185656,577,3178,487,4689,267063,50747
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,105.585695,156.564756,80.76271455,97.37775287,111.5940398,114.218131,159.6276155,110.9073543,83.35070827,108.3640175,130.557982,124.7618169,96.01037609,79.56833775,69.92238977,187.3595577,145.3276296,109.4316142,125.0018521,91.46374843,132.0563723
Individuals using the Internet (% of population),IT.NET.USER.ZS,79,55.8,42.30011749,81.44,82.34999847,14.52,55.82999799,79.4964,39.75,69.80999994,41,87.47999842,74.7,83,12.58006091,54,63.8,84.07,48.56,45.13,85.2
"Population, total",SP.POP.TOTL,22728254,42096739,1350695000,65659790,80425823,248883232,59539717,127629000,120828307,46773055,52506515.0772335,63700300,313998379,34750545,1263065852,29086357,143201676,50199853,200560983,74569867,7996861
Scientific and technical journal articles,IP.JRN.ARTC.SC,44488.9,8073.1,372038.4,72424.4,101777.8,1992.1,63310.5,104313.9,12462.8,53644.8,8955.4,96764.7,414758.5,58420.3,88272.7,6227.1,33260.4,56897,47302.1,28329.2,20613.6
"Armed forces personnel, total",MS.MIL.TOTL.P1,56200,104350,2993000,325600,186450,676500,359500,259800,329750,215600,62100,169150,1492200,66000,2728700,249000,1364000,659500,713480,612800,22650
Rail lines (total route-km),IS.RRS.TOTL.KM,..,25023,66298,30013,33509,4684,17060,20140,26704,15665,20500,16423,228218,52002,64460,1412,84249,3650,29817,9642,3551
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.921,2.347,1.599,2.01,1.41,2.455,1.43,1.41,2.295,1.32,2.554,1.92,1.8805,1.6142,2.475,2.779,1.691,1.297,1.777,2.124,1.52
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/30/2017,,,,,,,,,,,,,,,,,,,,,,
